target_id	length	eff_length	est_counts	tpm
NM_130786|A1BG|58858220|58864865|58858220|58858387|74.77|1(-)	1717	1826.6	987	4.69849
NM_000014|A2M|9220308|9268825|9220308|9220418|52.34|1(-)	4915	5001.3	2	0.00347722
NM_001318038|A4GALT|43088127|43117307|43088127|43088895|83.18|1(-)	2154	2493.64	1089	3.79734
NM_001173466|AAAS|53701244|53715412|53701244|53701272|100|1(-)	1733	1975.84	12076	53.1444
NM_001286682|AADAT|170981373|171011372|170981373|170982078|56.07|1(-)	2119	1660.46	36.0548	0.188808
NM_153698|AAED1|99403533|99417599|99403533|99404040|99.07|1(-)	1224	880.983	687	6.7807
NM_001271885|AAGAB|67494491|67547536|67494491|67495158|35.51|1(-)	1604	1308	11857	78.8231
NM_014911|AAK1|69694920|69870977|69694920|69703000|54.21|1(-)	11471	10489.1	468	0.387965
NM_001087|AAMP|219128852|219134932|219128852|219129255|85.98|1(-)	1831	1935.13	22412	100.706
NM_001605|AARS|70286288|70323412|70286288|70286623|100|1(-)	3352	3298.51	38137	100.534
NM_020745|AARS2|44267426|44281063|44267426|44268283|82.24|1(-)	3818	4085.96	3750.7	7.98185
NM_001261434|AARSD1|41102543|41116515|41102543|41102609|99.07|1(-)	1363	1210.94	2644.75	18.991
NM_001286668|AASDH|57204539|57253674|57204539|57204567|71.96|1(-)	3242	2631.91	3084	10.1889
NM_005763|AASS|121716533|121784344|121716533|121716542|57.01|1(-)	2935	2520.75	2912	10.0449
NM_001080395|AATK|79091095|79139872|79091095|79092201|61.68|1(-)	5311	6450.59	97	0.130755
NM_005502|ABCA1|107543289|107690527|107543289|107546595|50.47|1(-)	10496	9901.79	496	0.435565
NM_001606|ABCA2|139901686|139922740|139901686|139902380|98.13|1(-)	8153	9751.12	40501	36.1157
NM_001089|ABCA3|2325882|2390747|2325882|2326674|85.05|1(-)	6619	7737.37	22903	25.7386
NM_018672|ABCA5|67243482|67311774|67243482|67243677|88.79|1(-)	6342	4910.96	5321.33	9.42191
NM_000927|ABCB1|87133174|87342639|87133174|87133558|38.32|1(-)	4720	3953.08	51	0.112181
NM_012089|ABCB10|229652589|229694442|229652589|229653925|43.93|1(-)	3596	3161.98	4895	13.461
NM_005689|ABCB6|220074494|220083712|220074494|220074659|99.07|1(-)	3011	3394.05	4335	11.106
NM_001271696|ABCB7|74273115|74376175|74273115|74273204|87.85|1(-)	2416	1960.68	3093	13.717
NM_001301829|ABCC4|95672089|95953700|95672089|95673828|80.37|1(-)	5708	4900.37	15	0.0266163
NM_001320032|ABCC5|183638701|183735748|183638701|183639087|33.64|1(-)	5001	5045.97	39016	67.2331
NM_001171|ABCC6|16243422|16317328|16243422|16243989|36.45|1(-)	5116	6235.29	4382	6.11083
NM_005050|ABCD4|74752674|74769767|74752674|74753163|80.37|1(-)	2462	2512.65	1473	5.09748
