target_id	length	eff_length	est_counts	tpm
NM_130786|A1BG|58858220|58864865|58858220|58858387|74.77|1(-)	1717	1801.9	1165	6.42178
NM_000014|A2M|9220308|9268825|9220308|9220418|52.34|1(-)	4915	4904.29	1	0.00202528
NM_001318038|A4GALT|43088127|43117307|43088127|43088895|83.18|1(-)	2154	2446.69	2049	8.31808
NM_001173466|AAAS|53701244|53715412|53701244|53701272|100|1(-)	1733	1908.01	11934	62.125
NM_001286682|AADAT|170981373|171011372|170981373|170982078|56.07|1(-)	2119	1617.94	11.021	0.0676577
NM_153698|AAED1|99403533|99417599|99403533|99404040|99.07|1(-)	1224	851.854	519	6.0515
NM_001271885|AAGAB|67494491|67547536|67494491|67495158|35.51|1(-)	1604	1286.73	11049	85.2893
NM_014911|AAK1|69694920|69870977|69694920|69703000|54.21|1(-)	11471	10313	580	0.558603
NM_001087|AAMP|219128852|219134932|219128852|219129255|85.98|1(-)	1831	1890.88	22540	118.4
NM_001605|AARS|70286288|70323412|70286288|70286623|100|1(-)	3352	3238.89	32826	100.666
NM_020745|AARS2|44267426|44281063|44267426|44268283|82.24|1(-)	3818	4012.93	4685.49	11.5972
NM_001261434|AARSD1|41102543|41116515|41102543|41102609|99.07|1(-)	1363	1180.11	2191.86	18.448
NM_001286668|AASDH|57204539|57253674|57204539|57204567|71.96|1(-)	3242	2568.67	2387	9.23005
NM_005763|AASS|121716533|121784344|121716533|121716542|57.01|1(-)	2935	2476.2	670	2.68751
NM_001080395|AATK|79091095|79139872|79091095|79092201|61.68|1(-)	5311	6369.13	116	0.1809
NM_005502|ABCA1|107543289|107690527|107543289|107546595|50.47|1(-)	10496	9727.59	1574	1.60716
NM_001606|ABCA2|139901686|139922740|139901686|139902380|98.13|1(-)	8153	9626.97	51581	53.2183
NM_001089|ABCA3|2325882|2390747|2325882|2326674|85.05|1(-)	6619	7642.11	28496	37.0366
NM_018672|ABCA5|67243482|67311774|67243482|67243677|88.79|1(-)	6342	4824.57	4025.23	8.28691
NM_000927|ABCB1|87133174|87342639|87133174|87133558|38.32|1(-)	4720	3892.67	88	0.224541
NM_012089|ABCB10|229652589|229694442|229652589|229653925|43.93|1(-)	3596	3093.25	3072	9.86433
NM_005689|ABCB6|220074494|220083712|220074494|220074659|99.07|1(-)	3011	3340.88	5197	15.4509
NM_001271696|ABCB7|74273115|74376175|74273115|74273204|87.85|1(-)	2416	1929.48	2617	13.4718
NM_001301829|ABCC4|95672089|95953700|95672089|95673828|80.37|1(-)	5708	4820.6	14	0.0288462
NM_001320032|ABCC5|183638701|183735748|183638701|183639087|33.64|1(-)	5001	4982.8	35587	70.938
NM_001171|ABCC6|16243422|16317328|16243422|16243989|36.45|1(-)	5116	6121.74	7164	11.6236
NM_005050|ABCD4|74752674|74769767|74752674|74753163|80.37|1(-)	2462	2437.49	1738	7.08218
NM_005692|ABCF2|150904923|150924460|150904923|150905156|37.38|1(-)	2392	2111.34	8148	38.3312
NM_001257386|ABCG2|89013320|89152474|89013320|89013507|43.93|1(-)	2371	2106.74	18	0.0848636
NM_001145364|ABHD11|73150424|73153197|73150424|73150888|86.92|1(-)	1311	1273.1	11526.9	89.9311
NM_015600|ABHD12|25275379|25371618|25275379|25275608|88.79|1(-)	1723	1555.4	7211	46.0483
NM_001146314|ABHD14B|52002531|52008646|52002531|52003441|100|1(-)	2237	2593.9	13160	50.3921
NM_198147|ABHD15|27888311|27894042|27888311|27889578|96.26|1(-)	2732	2934.63	2893	9.79164
NM_001177515|ABHD16A|31654735|31670850|31654735|31654988|94.39|1(-)	2136	2261	12464	54.7543
NM_001130111|ABHD17A|1876975|1885518|1876975|1877198|42.06|1(-)	1562	1751.3	10754	60.9917
NM_001308256|ABHD3|19230862|19284766|19230862|19231551|74.77|1(-)	1900	1376.07	1359	9.80933
NM_024527|ABHD8|17402940|17414282|17402940|17403469|96.26|1(-)	2089	2325.88	1542	6.58503
NM_001012750|ABI1|27036805|27150016|27036805|27037498|68.22|1(-)	2363	1873.72	11096	58.8196
NM_001136000|ABL2|179076734|179112224|179076734|179076852|60.75|1(-)	3358	3232.26	1969	6.05062
NM_001003407|ABLIM1|116193673|116444414|116193673|116196018|35.51|1(-)	4804	4755.47	6738.81	14.0751
NM_001092|ABR|906763|1012340|906763|909319|90.65|1(-)	5057	5529.71	9722	17.4628
NM_145804|ABTB2|34172534|34379555|34172534|34173933|84.11|1(-)	4902	5595.99	3351	5.94783
NM_001130410|ACAA1|38164206|38178733|38164206|38164537|100|1(-)	1534	1513.35	3550	23.2996
NM_006111|ACAA2|47309937|47340251|47309937|47310216|43.93|1(-)	1870	1604.32	5823	36.0509
